City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Punta De Piedra,VE,7.6176,-71.4916,72.95,98,100,2.98,overcast clouds
79,Pisco,PE,-13.7,-76.2167,62.65,82,0,4.61,clear sky
80,Hirara,JP,24.8,125.2833,80.87,94,75,23.02,broken clouds
81,Juegang,CN,32.3174,121.1855,68.92,83,100,20.04,light rain
82,Tigzirt,DZ,36.8886,4.1198,64.26,72,0,6.58,clear sky
83,Saint George,US,37.1041,-113.5841,70.39,33,1,3.0,clear sky
84,Halden,NO,59.1226,11.3871,47.91,82,3,11.41,clear sky
85,Port Alfred,ZA,-33.5906,26.891,56.3,78,60,14.74,broken clouds
86,Dudinka,RU,69.4058,86.1778,21.61,92,100,6.04,overcast clouds
87,Manono,CD,-7.3,27.4167,75.04,66,100,2.42,overcast clouds
88,Estepona,ES,36.4276,-5.1459,67.82,86,100,10.36,overcast clouds
89,Hermanus,ZA,-34.4187,19.2345,64.9,55,100,7.07,overcast clouds
90,Kapaa,US,22.0752,-159.319,84.18,71,75,4.0,light rain
91,Hilo,US,19.7297,-155.09,80.33,83,40,6.91,light rain
92,Mandalgovi,MN,45.7625,106.2708,41.31,27,5,14.07,clear sky
93,Rawson,AR,-43.3002,-65.1023,58.6,62,1,7.23,clear sky
94,Saryozek,KZ,44.3583,77.9753,36.88,96,100,6.13,overcast clouds
95,Lata,PT,40.1629,-8.3327,65.05,57,18,5.06,few clouds
96,Okhotsk,RU,59.3833,143.3,30.61,71,38,10.85,scattered clouds
97,Aklavik,CA,68.2191,-135.0107,29.23,88,100,4.81,overcast clouds
98,Sisimiut,GL,66.9395,-53.6735,32.4,85,95,6.73,overcast clouds
99,Vaini,TO,-21.2,-175.2,77.16,83,75,13.8,broken clouds
100,Tari,NG,12.4086,4.4914,79.48,58,87,6.98,overcast clouds
101,Cape Town,ZA,-33.9258,18.4232,65.12,94,0,2.3,clear sky
102,Ternate,ID,0.8,127.4,84.9,73,85,8.5,overcast clouds
103,Kuminskiy,RU,58.6667,66.5667,25.27,68,2,3.98,clear sky
104,East London,ZA,-33.0153,27.9116,57.85,72,51,16.44,broken clouds
105,Kiunga,PG,-6.1219,141.2906,77.97,90,100,0.63,overcast clouds
106,Ponta Do Sol,PT,32.6667,-17.1,72.01,70,13,4.54,few clouds
107,Camargo,MX,27.6667,-105.1667,78.31,26,1,9.6,clear sky
108,North Bend,US,43.4065,-124.2243,57.11,86,75,6.91,broken clouds
109,Port-Gentil,GA,-0.7193,8.7815,77.88,85,100,8.41,overcast clouds
110,Lagoa,PT,39.05,-27.9833,68.56,88,100,17.94,overcast clouds
111,Talnakh,RU,69.4865,88.3972,21.45,96,97,7.52,overcast clouds
112,Hofn,IS,64.2539,-15.2082,39.49,63,1,13.29,clear sky
113,Bandarbeyla,SO,9.4942,50.8122,78.73,86,64,22.06,broken clouds
114,Parry Sound,CA,45.3501,-80.033,66.11,82,100,11.88,overcast clouds
115,Agadez,NE,19.75,10.25,75.83,12,18,6.6,few clouds
116,Thunder Bay,CA,48.4001,-89.3168,63.55,99,90,12.66,light rain
117,Saldanha,ZA,-33.0117,17.9442,57.25,48,100,7.56,overcast clouds
118,Brae,GB,60.3964,-1.353,46.31,73,100,20.83,overcast clouds
119,Constitucion,CL,-35.3333,-72.4167,52.65,84,0,9.37,clear sky
120,Port Macquarie,AU,-31.4333,152.9167,63.9,88,90,17.27,overcast clouds
121,Myszkow,PL,50.5752,19.3246,39.97,100,96,1.66,overcast clouds
122,Marawi,PH,7.9986,124.2928,79.65,78,92,9.55,overcast clouds
123,Izhma,RU,65.0083,53.9113,33.33,98,100,4.83,light snow
124,Atuona,PF,-9.8,-139.0333,78.51,73,18,19.17,few clouds
125,Beyneu,KZ,45.3167,55.2,47.17,56,15,4.72,few clouds
