City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Nisia Floresta,BR,79.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
299,Cabra,ES,63.9,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
302,Ducheng,CN,69.78,overcast clouds,23.2373,111.5317,Xinyongguang Hotel
305,Pacific Grove,US,79.99,clear sky,36.6177,-121.9166,Lovers Point Inn
308,Mastic Beach,US,65.1,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
310,Kirakira,SB,81.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
311,Sao Filipe,CV,80.28,clear sky,14.8961,-24.4956,Hotel Xaguate
314,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
315,Asfi,MA,68.02,broken clouds,32.2994,-9.2372,Hôtel Abda
316,Mucuri,BR,73.49,light rain,-18.0864,-39.5508,La Bodeguita Pousada
317,Puruliya,IN,73.11,clear sky,23.3333,86.3667,Hotel Akash Ganga
318,Nkan,GA,76.77,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
320,Takoradi,GH,76.08,overcast clouds,4.8845,-1.7554,Raybow International Hotel
321,Merauke,ID,81.63,overcast clouds,-8.4667,140.3333,
322,Curup,ID,70.05,light rain,-3.4667,102.5333,Ayi The Costel
323,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
324,Surt,LY,75.43,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
325,Kodinar,IN,78.98,broken clouds,20.7903,70.7031,residency of N.B vadhel
326,Subang,ID,75.67,broken clouds,-7.1277,108.5283,TPU BAGUS JAYA NGOHOL
328,Beecher,US,71.76,clear sky,43.09,-83.6944,"Holt's Mobile Home Court, Sales and RV Park"
329,Batemans Bay,AU,60.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
330,Acarau,BR,79.52,clear sky,-2.8856,-40.12,castelo pizzaria
331,Ca Mau,VN,79.72,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
332,Nantucket,US,64.02,heavy intensity rain,41.2835,-70.0995,Jared Coffin House
333,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
336,Mehran,IR,69.28,clear sky,33.1222,46.1646,بوتیک زنانه بهار
340,Port Macquarie,AU,64.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
341,Calabasas,US,84.06,clear sky,34.1578,-118.6384,The Anza A Calabasas Hotel
343,Tonaya,MX,77.43,broken clouds,19.7833,-103.9667,Mayra gallardo
345,Lishui,CN,71.4,overcast clouds,28.4604,119.9103,Bayi Hotel
346,Makokou,GA,68.4,overcast clouds,0.5738,12.8642,Motel des voyageurs
347,Roswell,US,72.39,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
348,Mbandaka,CD,70.54,overcast clouds,0.0487,18.2603,Guest House Epervier
349,La Plata,AR,63.99,overcast clouds,-34.9215,-57.9545,Hotel Corregidor
350,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
351,Sete,FR,60.84,few clouds,43.4018,3.6966,Hotel De Paris Sète
352,Gao,ML,86.85,overcast clouds,16.6362,1.637,
